Song Title,Artist,Year,Album,Initial Emotion,Study Quality
Jashn-E-Bahaaraa,Javed Ali,2008,Jodhaa Akbar,Surprised,Classical influences
Aaoge Jab Tum,Ustad Rashid Khan,2007,Jab We Met,Surprised,"Peaceful, centering"
Phir Se Ud Chala,Mohit Chauhan,2011,Rockstar,Surprised,Elevating to peaceful
Pehli Nazar Mein,Atif Aslam,2008,Race,Surprised,Soothing progression
Behti Hawa Sa Tha Woh,Shaan/Shantanu Moitra,2009,3 Idiots,Surprised,Gentle nostalgia
Piya O Re Piya,Atif Aslam/Shreya Ghoshal,2013,Tere Naal Love Ho Gaya,Surprised,Calming duet
Ae Ajnabi,Udit Narayan/Mahalakshmi Iyer,2001,Dil Se,Fear,Builds to reassurance
Tum Ho Toh,Kavita Seth/Javed Bashir,2009,Rock On!!,Fear,Gradual emotional release
Tu Jaane Na,Atif Aslam,2009,Ajab Prem Ki Ghazab Kahani,Fear,Comforting progression
Tu Kuja Man Kuja,Shiraz Uppal,2014,Highway,Fear,Spiritual reassurance
O Rangrez,Javed Bashir/Shreya Ghoshal,2013,Bhaag Milkha Bhaag,Fear,Transcendent quality
Lukka Chuppi,A.R. Rahman,2006,Rang De Basanti,Fear,Emotional release
Dil Diyan Gallan,Atif Aslam,2017,Tiger Zinda Hai,Fear,Peaceful reassurance
Tere Bina,A.R. Rahman,2007,Guru,Fear,"Gentle, reassuring melody"
Tu Hai,A.R. Rahman,2016,Mohenjo Daro,Happy,"Atmospheric, immersive"
Khuda Jaane,KK/Shilpa Rao,2008,Bachna Ae Haseeno,Sad,Gentle emotional journey
Gerua,Arijit Singh/Antara Mitra,2015,Dilwale,Happy,"Romantic, soothing melody"
Manwa Laage,Arijit Singh/Shreya Ghoshal,2014,Happy New Year,Happy,"Light, pleasant progression"
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,2008,Rab Ne Bana Di Jodi,Happy,"Devotional, calming"
Subhanallah,Sreerama Chandra/Shilpa Rao,2013,Yeh Jawaani Hai Deewani,Happy,"Uplifting, soft percussion"
Zinda,Siddharth Mahadevan,2013,Bhaag Milkha Bhaag,Angry,Inspirational transition
Tere Sang Yaara,Atif Aslam,2016,Rustom,Happy,"Gentle, melodious"
Thodi Der,Farhan Saeed/Shreya Ghoshal,2017,Half Girlfriend,Sad,Comforting melody
Mast Magan,Arijit Singh/Chinmayi Sripada,2014,2 States,Happy,"Folk-inspired, soothing"
Khuda Bhi,Shaan,2004,Bewafaa,Sad,"Devotional, peaceful"
Hawayein,Arijit Singh,2017,Jab Harry Met Sejal,Happy,"Airy, light texture"
Zehnaseeb,Chinmayi Sripada/Shekhar Ravjiani,2014,Hasee Toh Phasee,Happy,"Bright, relaxing"
Rozana,Shreya Ghoshal,2017,Naam Shabana,Sad,"Gentle, meditative"
Galliyan,Ankit Tiwari,2014,Ek Villain,Sad,"Acoustic, calming"
Humdard,Arijit Singh,2014,Ek Villain,Sad,Comforting progression
Soch Na Sake,Arijit Singh/Tulsi Kumar,2016,Airlift,Sad,"Emotional, soothing"
Saiyaara,Mohit Chauhan/Tarannum Malik,2012,Ek Tha Tiger,Happy,"Flowing, peaceful"
Jeena Jeena,Atif Aslam,2015,Badlapur,Happy,"Acoustic, gentle"
Hamari Adhuri Kahani,Arijit Singh,2015,Hamari Adhuri Kahani,Sad,Emotional release
Chahun Main Ya Naa,Arijit Singh/Palak Muchhal,2013,Aashiqui 2,Happy,"Romantic, soothing"
Pani Da Rang,Ayushmann Khurrana,2012,Vicky Donor,Sad,"Simple, comforting"
Raabta,Arijit Singh,2012,Agent Vinod,Happy,Rhythmic yet meditative
Mere Naam Tu,Abhay Jodhpurkar,2018,Zero,Happy,"Orchestral, sweeping"
Samjhawan,Arijit Singh/Shreya Ghoshal,2014,Humpty Sharma Ki Dulhania,Sad,"Acoustic, intimate"
Dhadak Title Track,Ajay Gogavale/Shreya Ghoshal,2018,Dhadak,Happy,"Folk-inspired, uplifting"
Ae Dil Hai Mushkil,Arijit Singh,2016,Ae Dil Hai Mushkil,Sad,Emotional journey
Khairiyat,Arijit Singh,2019,Chhichhore,Sad,Gentle progression
Bekhayali,Sachet Tandon,2019,Kabir Singh,Sad,Intense to calming
Qaafirana,Arijit Singh/Nikhita Gandhi,2018,Kedarnath,Happy,"Folk elements, peaceful"
Kalank Title Track,Arijit Singh,2019,Kalank,Sad,"Orchestral, meditative"
Apna Time Aayega,Ranveer Singh,2019,Gully Boy,Angry,Transitional energy
Ghungroo,Arijit Singh/Shilpa Rao,2019,War,Happy,Playful to gentle
Tujhe Kitna Chahne Lage,Arijit Singh,2019,Kabir Singh,Sad,"Acoustic, soothing"
Ve Maahi,Arijit Singh/Asees Kaur,2019,Kesari,Happy,"Romantic, calming"
Mere Sohneya,Sachet Tandon/Parampara Thakur,2019,Kabir Singh,Sad,"Soft, melodious"
Tera Ban Jaunga,Akhil Sachdeva/Tulsi Kumar,2019,Kabir Singh,Happy,"Intimate, gentle"
Lehanga,Jass Manak,2019,Age 19,Happy,Rhythmic yet soothing
Raataan Lambiyan,Jubin Nautiyal/Asees Kaur,2021,Shershaah,Happy,"Romantic, peaceful"
Ranjha,B Praak/Jasleen Royal,2021,Shershaah,Sad,"Emotional, calming"
Mann Bharryaa 2.0,B Praak,2021,Shershaah,Sad,Intense to peaceful
Thoda Thoda Pyaar,Stebin Ben/Nilesh Ahuja,2021,Non-Album Single,Happy,"Light, gentle"
Lut Gaye,Jubin Nautiyal,2021,Non-Album Single,Sad,Emotional journey
Baarish Ki Jaaye,B Praak,2021,Non-Album Single,Happy,"Romantic, soothing"
Bheegi Bheegi,Neha Kakkar/Tony Kakkar,2020,Non-Album Single,Happy,Rhythmic yet calming
Taaron Ke Shehar,Neha Kakkar/Jubin Nautiyal,2020,Non-Album Single,Sad,"Melodious, gentle"
Mehendi Wale Haath,Guru Randhawa,2020,Non-Album Single,Happy,Traditional influences
Aaj Sajeya,Goldie Sohel,2021,Non-Album Single,Happy,"Wedding melody, peaceful"
Tum Hi Aana,Jubin Nautiyal,2019,Marjaavaan,Sad,Emotional with calming resolution
Makhna,Yasser Desai/Tanishk Bagchi,2018,Non-Album Single,Happy,Playful yet soothing
Vaaste,Dhvani Bhanushali/Nikhil D'Souza,2019,Non-Album Single,Sad,"Melodious, gentle"
Kaise Hua,Vishal Mishra,2019,Kabir Singh,Happy,"Soft, romantic"
Duniyaa,Akhil/Dhvani Bhanushali,2019,Luka Chuppi,Happy,"Melodic, comforting"
Tera Fitoor,Arijit Singh,2018,Genius,Happy,"Romantic, peaceful"
Tera Yaar Hoon Main,Arijit Singh,2018,Sonu Ke Titu Ki Sweety,Sad,"Friendship theme, calming"
Dil Na Jaaneya,Rochak Kohli/Lauv/AKASA,2019,Good Newwz,Happy,"Soft, progressive"
Main Jis Din Bhulaa Du,Jubin Nautiyal/Tulsi Kumar,2021,Non-Album Single,Sad,Emotional journey
Thoda Thoda Pyaar,Stebin Ben,2021,Non-Album Single,Happy,"Light, romantic"
Dil Ko Karaar Aaya,Neha Kakkar/Yasser Desai,2020,Non-Album Single,Happy,"Soft, melodious"
Lambiyaan Si Judaiyaan,Arijit Singh,2017,Raabta,Sad,Emotional release
Mere Rashke Qamar,Nusrat Fateh Ali Khan/Rahat Fateh Ali Khan,2017,Baadshaho,Happy,"Classical, meditative"
Ban Ja Rani,Guru Randhawa,2017,Tumhari Sulu,Happy,Upbeat yet soothing
Raatein,Shivin Narang/Arijit Singh,2020,Non-Album Single,Sad,"Gentle, calming"
Chhod Diya,Arijit Singh,2018,Baazaar,Sad,"Emotional, peaceful"
Leja Re,Dhvani Bhanushali,2018,Non-Album Single,Happy,"Folk elements, gentle"
Laila Main Laila,Pawni Pandey,2017,Raees,Happy,Retro with modern elements
Kaun Tujhe,Palak Muchhal,2016,M.S. Dhoni: The Untold Story,Sad,"Soft, intimate"
Nashe Si Chadh Gayi,Arijit Singh,2016,Befikre,Happy,Rhythmic yet focusing
The Humma Song,Jubin Nautiyal/Shashaa Tirupati,2017,OK Jaanu,Happy,"Remixed classic, energy transition"
Bolna,Arijit Singh/Asees Kaur,2016,Kapoor & Sons,Happy,"Romantic, soothing"
Sab Tera,Armaan Malik/Shraddha Kapoor,2016,Baaghi,Happy,"Gentle, melodious"
Yeh Fitoor Mera,Arijit Singh,2016,Fitoor,Sad,Passionate to peaceful
Sau Aasmaan,Armaan Malik/Neeti Mohan,2016,Baar Baar Dekho,Happy,"Uplifting, gentle"
Ikk Kudi,Diljit Dosanjh,2016,Udta Punjab,Sad,"Folk-inspired, calming"
Kar Gayi Chull,Badshah/Fazilpuria/Arijit Singh/Neha Kakkar,2016,Kapoor & Sons,Happy,Energetic to soothing
Dhal Jaun Main,Arijit Singh,2015,Rustom,Sad,"Emotional, meditative"
Sooraj Dooba Hain,Arijit Singh/Aditi Singh Sharma,2015,Roy,Happy,"Romantic, calming"
Sawan Aaya Hai,Arijit Singh,2014,Creature 3D,Happy,"Monsoon theme, peaceful"
Tu Chahiye,Atif Aslam,2015,Bajrangi Bhaijaan,Happy,"Gentle, melodious"
Main Hoon Hero Tera,Salman Khan,2015,Hero,Happy,"Simple, soothing"
Main Rahoon Ya Na Rahoon,Armaan Malik,2015,Non-Album Single,Sad,Emotional journey
Bol Do Na Zara,Armaan Malik,2016,Azhar,Happy,"Romantic, calming"
Kuch Toh Hai,Armaan Malik,2016,Do Lafzon Ki Kahani,Happy,"Soft, intimate"
Itni Si Baat Hai,Arijit Singh/Antara Mitra,2016,Azhar,Happy,"Light, gentle"
Ishq Mubarak,Arijit Singh,2016,Tum Bin 2,Happy,"Romantic, peaceful"
Bawara Mann,Jubin Nautiyal/Neeti Mohan,2017,Jolly LLB 2,Sad,Emotional resolution
Tere Mere,Armaan Malik,2017,Chef,Happy,"Melodious, soothing"
Hawa Banke,Darshan Raval,2019,Non-Album Single,Happy,"Airy, light texture"
Yaad Piya Ki Aane Lagi,Neha Kakkar,2019,Non-Album Single,Happy,Remix with calming elements
Filhaal,B Praak,2019,Non-Album Single,Sad,"Emotional, peaceful"
Tu Hi Yaar Mera,Neha Kakkar/Arijit Singh,2019,Pati Patni Aur Woh,Happy,"Romantic, gentle"
Sauda Khara Khara,Diljit Dosanjh/Sukhbir,2019,Good Newwz,Happy,"Punjabi folk, energizing"
Muqabla,Yash Narvekar/Parampara Thakur,2020,Street Dancer 3D,Happy,"Retro remix, rhythmic yet focusing"
Shayad,Arijit Singh,2020,Love Aaj Kal,Happy,"Soft, uplifting"
Taare Ginn,Diljit Dosanjh/Neeti Mohan,2020,Dil Bechara,Happy,"Romantic, peaceful"
Humnava Mere,Jubin Nautiyal,2018,Non-Album Single,Sad,"Emotional, gentle"
Bom Diggy Diggy,Zack Knight/Jasmin Walia,2018,Sonu Ke Titu Ki Sweety,Happy,Catchy yet soothing
Dilbar,Neha Kakkar/Dhvani Bhanushali/Ikka,2018,Satyameva Jayate,Happy,Middle-eastern influences
Aankh Marey,Neha Kakkar/Mika Singh/Kumar Sanu,2018,Simmba,Happy,"Retro remix, playful"
Kya Baat Ay,Harrdy Sandhu,2018,Non-Album Single,Happy,"Punjabi pop, rhythmic"
O Saathi,Atif Aslam,2018,Baaghi 2,Happy,"Romantic, soothing"
Zaalima,Arijit Singh/Harshdeep Kaur,2017,Raees,Happy,"Sufi influences, meditative"
Koi Vi Nahi,Shirley Setia/Gurnazar,2018,Non-Album Single,Sad,Gentle progression
Dekhte Dekhte,Atif Aslam,2018,Batti Gul Meter Chalu,Sad,"Qawwali-inspired, peaceful"
Kaun Nachdi,Guru Randhawa/Neeti Mohan,2018,Sonu Ke Titu Ki Sweety,Happy,"Punjabi folk, energetic to relaxing"
Jingle Jingle,Asees Kaur,2018,Badhaai Ho,Happy,"Festive, joyful yet calming"
Daryaa,Ammy Virk/Shahid Mallya,2018,Manmarziyaan,Sad,"Folk elements, emotional journey"
Kamariya,Aastha Gill/Divya Kumar,2018,Stree,Happy,"Folk-fusion, rhythmic yet focusing"
Nain Na Jodeen,Neha Kakkar/Guru Randhawa,2018,Hate Story 4,Sad,Emotional progression
High Rated Gabru,Guru Randhawa,2017,Nawabzaade,Happy,"Punjabi pop, energy transition"
Bom Diggy,Zack Knight/Jasmin Walia,2017,Sonu Ke Titu Ki Sweety,Happy,"R&B influences, rhythmic"
Garmi,Neha Kakkar/Badshah,2020,Street Dancer 3D,Happy,Dance track with soothing breaks
Lagdi Lahore Di,Guru Randhawa/Tulsi Kumar,2020,Street Dancer 3D,Happy,Punjabi pop elements
Kinna Sona,Sunil Kamath/Dhvani Bhanushali,2020,Marjaavaan,Happy,"Romantic, gentle"
Masakali 2.0,Tulsi Kumar/Sachet Tandon,2020,Non-Album Single,Happy,"Remixed classic, softer elements"
Teri Mitti,B Praak,2019,Kesari,Sad,Patriotic emotional release
Hauli Hauli,Garry Sandhu/Neha Kakkar,2019,De De Pyaar De,Happy,"Punjabi elements, rhythmic"
Coca Cola,Tony Kakkar/Neha Kakkar,2019,Luka Chuppi,Happy,Catchy with relaxing segments
Photo,Karan Sehmbi,2019,Luka Chuppi,Happy,Punjabi pop influence
Tera Ghata,Gajendra Verma,2018,Non-Album Single,Sad,Emotional journey
Namo Namo,Amit Trivedi,2018,Kedarnath,Surprised,"Devotional, spiritual"
Aithey Aa,Neha Bhasin/Kamaal Khan,2019,Bharat,Happy,"Folk-fusion, playful"
Psycho Saiyaan,Dhvani Bhanushali/Sachet Tandon,2019,Saaho,Happy,Dance track with meditative breaks
Pachtaoge,Arijit Singh,2019,Non-Album Single,Sad,"Emotional, gentle resolution"
Kaise Hua,Vishal Mishra,2019,Kabir Singh,Happy,"Soft, romantic"
Garmi,Neha Kakkar/Badshah,2020,Street Dancer 3D,Happy,Dance track with focusing elements
Genda Phool,Badshah/Payal Dev,2020,Non-Album Single,Happy,Bengali folk fusion
Ilahi,Arijit Singh,2013,Yeh Jawaani Hai Deewani,Happy,"Uplifting, peaceful"
London Thumakda,Neha Kakkar/Sonu Kakkar/Labh Janjua,2014,Queen,Happy,"Wedding song, celebratory yet focusing"
Zehnaseeb,Chinmayi Sripada/Shekhar Ravjiani,2014,Hasee Toh Phasee,Happy,"Bright, gentle"
Banjaara,Arijit Singh,2014,Ek Villain,Sad,"Journey-themed, emotional"
Mast Magan,Arijit Singh/Chinmayi Sripada,2014,2 States,Happy,"Folk-inspired, soothing"
Sooraj Dooba Hai,Arijit Singh/Aditi Singh Sharma,2015,Roy,Happy,"Romantic, peaceful"
Jeena Jeena,Atif Aslam,2015,Badlapur,Happy,"Acoustic, gentle"
Enna Sona,Arijit Singh,2017,OK Jaanu,Happy,"Romantic, soothing"
Ittefaq Se,Arijit Singh/Jubin Nautiyal,2018,Ittefaq,Surprised,"Mystery theme, calming"
Baarishein,Atif Aslam,2019,Non-Album Single,Sad,"Rain-themed, gentle"
Chandigarh Mein,Badshah/Harrdy Sandhu/Lisa Mishra,2019,Good Newwz,Happy,"Punjabi fusion, energetic transitions"
Naah,Harrdy Sandhu,2017,Non-Album Single,Happy,"Punjabi pop, rhythmic yet focusing"
Dil Jaaniye,Jubin Nautiyal/Tulsi Kumar,2019,Khandaani Shafakhana,Happy,"Romantic, peaceful"
Sheher Ki Ladki,Badshah/Tulsi Kumar,2019,Khandaani Shafakhana,Happy,"Retro remix, playful"
Ankhiyon Se Goli Mare,Tulsi Kumar/Mika Singh,2019,Pati Patni Aur Woh,Happy,"Retro remix, energetic transitions"
Chandigarh Mein,Badshah/Harrdy Sandhu/Lisa Mishra,2019,Good Newwz,Happy,"Punjabi fusion, rhythmic yet calming"
Dil Na Jaaneya,Rochak Kohli/Lauv/AKASA,2019,Good Newwz,Happy,"Soft, progressive"
Marana Mass,Anirudh Ravichander,2018,Petta,Angry,"Tamil film, dynamic to focusing"
Rowdy Baby,Dhanush/Dhee,2018,Maari 2,Happy,"Tamil film, playful"
Malaal,Arijit Singh,2019,Malaal,Sad,Emotional journey
Dheeme Dheeme,Tony Kakkar,2019,Pati Patni Aur Woh,Happy,"Pop elements, rhythmic yet focusing"
Aankh Marey,Neha Kakkar/Mika Singh/Kumar Sanu,2018,Simmba,Happy,"Retro remix, playful"
Dilbar,Neha Kakkar/Dhvani Bhanushali/Ikka,2018,Satyameva Jayate,Happy,Middle-eastern influences
Kaun Tujhe,Palak Muchhal,2016,M.S. Dhoni: The Untold Story,Sad,"Soft, intimate"
Tere Sang Yaara,Atif Aslam,2016,Rustom,Happy,"Romantic, peaceful"
Zaalima,Arijit Singh/Harshdeep Kaur,2017,Raees,Happy,"Sufi influences, meditative"
Main Tera Boyfriend,Arijit Singh/Neha Kakkar,2017,Raabta,Happy,Upbeat with calming moments
Dil Mein Chhupa Loonga,Armaan Malik/Tulsi Kumar,2017,Wajah Tum Ho,Happy,"Romantic, soothing"
Suit Suit,Guru Randhawa/Arjun,2017,Hindi Medium,Happy,"Punjabi pop, rhythmic yet focusing"
Tenu Suit Suit Karda,Guru Randhawa,2017,Hindi Medium,Happy,"Punjabi pop, rhythmic"
Sanam Re,Arijit Singh,2016,Sanam Re,Sad,"Emotional, peaceful"
Soch Na Sake,Arijit Singh/Tulsi Kumar,2016,Airlift,Sad,Emotional journey
Cham Cham,Monali Thakur,2016,Baaghi,Happy,Playful yet soothing
Kala Chashma,Badshah/Amar Arshi/Neha Kakkar,2016,Baar Baar Dekho,Happy,"Punjabi wedding song, energetic transitions"
Bol Do Na Zara,Armaan Malik,2016,Azhar,Happy,"Romantic, gentle"
Kar Gayi Chull,Badshah/Fazilpuria/Arijit Singh/Neha Kakkar,2016,Kapoor & Sons,Happy,Energetic to soothing
Sau Aasmaan,Armaan Malik/Neeti Mohan,2016,Baar Baar Dekho,Happy,"Uplifting, peaceful"
Kheech Meri Photo,Neeti Mohan,2016,Sanam Teri Kasam,Happy,Playful yet focusing
Chitta Ve,Babu Haabi/Shahid Mallya,2016,Udta Punjab,Angry,Transitional energy
Da Da Dasse,Diljit Dosanjh/Kanika Kapoor,2016,Udta Punjab,Surprised,Punjabi elements journey-like
Manma Emotion Jaage,Amit Mishra,2015,Dilwale,Happy,Dance track with meditative breaks
Gerua,Arijit Singh/Antara Mitra,2015,Dilwale,Happy,"Romantic, sweeping"
Janam Janam,Arijit Singh,2015,Dilwale,Happy,"Romantic, gentle"
Prem Ratan Dhan Payo,Palak Muchhal,2015,Prem Ratan Dhan Payo,Happy,"Traditional elements, festive yet calming"
Deewani Mastani,Shreya Ghoshal,2015,Bajirao Mastani,Happy,"Classical influences, regal"
Pinga,Shreya Ghoshal/Vaishali Mhade,2015,Bajirao Mastani,Happy,"Classical dance, rhythmic yet focusing"
Malhari,Vishal Dadlani,2015,Bajirao Mastani,Angry,Energetic to meditative
Mohe Rang Do Laal,Shreya Ghoshal,2015,Bajirao Mastani,Happy,"Classical, spiritual"
Moh Moh Ke Dhaage,Monali Thakur/Papon,2015,Dum Laga Ke Haisha,Happy,"Retro inspired, gentle"
Jhoom Barabar Jhoom,Sukhwinder Singh/Mahalakshmi Iyer,2007,Jhoom Barabar Jhoom,Happy,"Sufi-inspired, rhythmic yet meditative"
Nashe Si Chadh Gayi,Arijit Singh,2016,Befikre,Happy,Rhythmic yet focusing
Dheere Dheere Se,Yo Yo Honey Singh,2015,Non-Album Single,Happy,"Remix, softer elements"
Uska Hi Banana,Arijit Singh,2015,1920: Evil Returns,Happy,"Romantic, peaceful"
Thodi Der,Farhan Saeed/,,,,
